# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	27429
#@/user_id	659266f3-df3f-408b-a1c2-a69bcad06620
a 	啊	c=16 d=1.03335 t=9474
xia ban 	下班	c=1 d=0.1 t=12438
xia biao 	下標	c=1 d=1 t=8397
xia biao 	下表	c=1 d=1 t=25440
xia ci 	下次	c=4 d=1 t=26510
xia ge 	下個	c=1 d=0.614274 t=22584
xia ge ban ben 	下個版本	c=1 d=1 t=22585
xia jiang 	下降	c=3 d=1 t=26172
xia jie 	下節	c=1 d=1 t=15449
xia lie 	下列	c=1 d=1 t=2084
xia liu liang 	下流量	c=1 d=1 t=25436
xia lun 	下輪	c=3 d=1.05327 t=16853
xia mian 	下面	c=24 d=1.26898 t=24959
xia mian de 	下面的	c=1 d=1 t=23540
xia qu 	下去	c=1 d=1 t=11149
xia tu 	下凸	c=1 d=1 t=10156
xia tu 	下圖	c=3 d=1 t=24620
xia tui 	下推	c=3 d=1 t=25079
xia wen 	下文	c=1 d=1 t=17088
xia wu 	下午	c=22 d=1.29279 t=27099
xia yi 	下一	c=0 d=0.100419 t=17793
xia yi 	下移	c=1 d=1 t=25702
xia yi ban 	下一班	c=1 d=1 t=17794
xia yi ge 	下一個	c=6 d=1.06307 t=13201
xia yi lun 	下一輪	c=3 d=2.35602 t=16873
xia yi tian 	下一天	c=1 d=1 t=8244
xia yi tiao 	下一條	c=1 d=1 t=11497
xia you 	下游	c=1 d=1 t=6012
xia yu 	下雨	c=2 d=1.92312 t=8251
xia zai 	下載	c=10 d=1.0662 t=25621
xia zhou 	下週	c=1 d=1 t=8775
xian 	先	c=27 d=1.02778 t=27401
xian 	現	c=2 d=1 t=17520
xian 	線	c=7 d=6.12579 t=19537
xian 	限	c=0 d=0.1 t=26697
xian chang 	先嚐	c=0 d=0.1 t=567
xian chang 	現場	c=2 d=1 t=18246
xian chang shi 	先嚐試	c=1 d=1 t=568
xian cheng 	線程	c=16 d=1 t=26718
xian cheng li 	線程裏	c=1 d=1 t=12095
xian cong 	先從	c=2 d=1.48919 t=11346
xian de 	顯得	c=1 d=1 t=5309
xian deng 	先等	c=1 d=1 t=10920
xian duan 	線段	c=0 d=0.1 t=27367
xian duan shu 	線段樹	c=3 d=2.78062 t=27415
xian dui yu 	先對於	c=1 d=1 t=3998
xian fa 	先發	c=1 d=1 t=14703
xian hou 	先後	c=1 d=1 t=1273
xian jie 	銜接	c=1 d=1 t=1185
xian jin 	先進	c=3 d=1.86936 t=12555
xian kan 	先看	c=1 d=1 t=11237
xian liao 	閒聊	c=1 d=1 t=9651
xian liu 	限流	c=16 d=0.897591 t=27216
xian liu ce lue 	限流策略	c=1 d=1 t=21201
xian mai yi ge 	先買一個	c=1 d=1 t=5009
xian na 	先拿	c=1 d=1 t=16768
xian qi 	嫌棄	c=0 d=0.1 t=7359
xian qi wo 	嫌棄我	c=1 d=1 t=7360
xian qian 	先前	c=1 d=1 t=2109
xian qian 	现前	c=1 d=1 t=2108
xian qu 	先去	c=1 d=1 t=495
xian ren 	賢人	c=2 d=1.99005 t=11180
xian shang 	線上	c=3 d=1 t=18434
xian shi 	顯示	c=10 d=1.00003 t=24675
xian shi chu lai 	顯示出來	c=0 d=0.1 t=19452
xian shi chu lai le 	顯示出來了	c=2 d=1.97531 t=19458
xian shi qi 	顯示器	c=1 d=1 t=5138
xian shou dao 	先收到	c=1 d=1 t=15014
xian xia 	線下	c=2 d=0.913233 t=18460
xian xia pei xun 	線下培訓	c=1 d=1 t=18461
xian xing 	線性	c=2 d=1 t=26040
xian xu 	線序	c=1 d=1 t=6398
xian xue nan 	先學難	c=1 d=1 t=9283
xian you 	現有	c=7 d=1.01897 t=26309
xian zai 	先在	c=1 d=1 t=4165
xian zai 	現在	c=25 d=1.99535 t=25998
xian zai lai 	現在來	c=1 d=1 t=23303
xian zhao 	先找	c=1 d=1 t=2179
xian zhi 	獻之	c=1 d=1 t=17597
xian zhi 	限制	c=7 d=1 t=25909
xian zhu 	限住	c=2 d=1.95123 t=19900
xian zhuang 	現狀	c=12 d=1 t=24347
xian zou 	先走	c=0 d=0.1 t=20882
xian zou yi bian 	先走一遍	c=1 d=1 t=20883
xian zuo yi xie 	先做一些	c=1 d=1 t=1439
xiang 	像	c=5 d=1 t=26939
xiang 	向	c=37 d=1.04724 t=25767
xiang 	想	c=6 d=1 t=24697
xiang 	相	c=1 d=1 t=6691
xiang 	翔	c=1 d=1 t=19189
xiang 	項	c=2 d=0.106539 t=22348
xiang 	𧬰	c=1 d=1 t=21822
xiang ba 	想把	c=1 d=1 t=195
xiang bi 	相比	c=3 d=1.06134 t=6336
xiang bi jiao 	相比較	c=1 d=1 t=19549
xiang cuo le 	想错了	c=1 d=1 t=17902
xiang dao 	想到	c=3 d=1 t=18007
xiang dao le 	想到了	c=1 d=1 t=17515
xiang du 	想讀	c=1 d=1 t=1102
xiang dui 	相對	c=1 d=1 t=616
xiang fa 	想法	c=10 d=1.94449 t=26516
xiang gang 	香港	c=2 d=1.956 t=4432
xiang guan 	相關	c=38 d=3.44856 t=27171
xiang jia 	相加	c=1 d=1 t=14105
xiang jie 	詳解	c=1 d=1 t=770
xiang jin 	相近	c=2 d=1.95123 t=5826
xiang le 	想了	c=1 d=0.1 t=16530
xiang le ge 	想了個	c=1 d=1 t=16531
xiang liang 	向量	c=3 d=1.52466 t=16599
xiang liang hua 	向量化	c=3 d=2.7872 t=897
xiang mu 	項目	c=1 d=0.1 t=18383
xiang qian 	鑲嵌	c=2 d=1.22537 t=5592
xiang rang 	想讓	c=0 d=0.1 t=16774
xiang shang 	向上	c=0 d=0.1 t=9286
xiang shang guan li 	向上管理	c=1 d=1 t=9287
xiang si 	想死	c=1 d=1 t=24853
xiang si 	相似	c=6 d=1.0002 t=24173
xiang si 	相思	c=1 d=1 t=5411
xiang tong 	相同	c=12 d=1.00563 t=25732
xiang xiang 	想想	c=4 d=1 t=22988
xiang xiang 	想象	c=0 d=0.1 t=26952
xiang yao 	想要	c=4 d=1 t=22338
xiang yi ge 	向一個	c=1 d=1 t=15143
xiang yin 	鄉音	c=1 d=1 t=21820
xiang ying 	相應	c=11 d=1.00282 t=26896
xiang ying cao zuo 	相應操作	c=1 d=1 t=23734
xiang zai 	想在	c=1 d=1 t=19327
xiao 	孝	c=1 d=1 t=19821
xiao 	小	c=13 d=0.102619 t=26140
xiao 	曉	c=1 d=1 t=7731
xiao 	笑	c=2 d=1.98511 t=14482
xiao 	肖	c=2 d=1 t=14478
xiao cang 	小倉	c=1 d=1 t=2763
xiao cha xun 	小查詢	c=1 d=1 t=26141
xiao chou 	小丑	c=1 d=1 t=18463
xiao fei 	消費	c=11 d=1.08747 t=17463
xiao fei bu liao 	消費不了	c=1 d=1 t=16707
xiao gai lv 	小概率	c=2 d=1.00002 t=21703
xiao guo 	效果	c=16 d=1.14006 t=27106
xiao hao 	消耗	c=30 d=1.23005 t=24456
xiao hao le 	消耗了	c=1 d=1 t=21831
xiao hao pin 	消耗品	c=1 d=1 t=5349
xiao hao yi xia 	消耗一下	c=1 d=1 t=1887
xiao hao zai 	消耗在	c=1 d=1 t=19701
xiao hao zi yuan 	消耗資源	c=1 d=1 t=22203
xiao hui 	銷毀	c=7 d=0.1 t=19596
xiao hui hou 	銷毀後	c=1 d=1 t=19597
xiao lou luo 	小嘍囉	c=1 d=1 t=7874
xiao lv 	效率	c=1 d=0.1 t=27327
xiao mei 	小美	c=2 d=1 t=24924
xiao shi 	小時	c=2 d=1 t=18702
xiao wai 	校外	c=1 d=1 t=11695
xiao wu 	小屋	c=0 d=0.1 t=21869
xiao xi 	消息	c=7 d=2.16224 t=15276
xiao xi jie gou ti 	消息結構體	c=1 d=1 t=14962
xiao yi yuan 	校醫院	c=3 d=1.99012 t=4456
xiao you 	校友	c=0 d=0.1 t=1802
xiao you qi ye 	校友企業	c=1 d=1 t=1803
xiao yu 	小於	c=5 d=1.0004 t=26081
xiao yu zhou 	小宇宙	c=1 d=1 t=11928
xiao yuan 	校園	c=0 d=0.1 t=9343
xiao yuan 	魈鳶	c=1 d=1.09501 t=10931
xiao yuan ka 	校園卡	c=2 d=1.97531 t=9349
xiao yuan yuan 	魈鳶鳶	c=1 d=1 t=10932
xiao zhao 	校招	c=2 d=1.2466 t=9669
xiao zu 	小組	c=2 d=1 t=7040
xie 	些	c=5 d=1 t=27266
xie 	寫	c=49 d=1.0022 t=27416
xie 	謝	c=3 d=1 t=19484
xie biao 	寫表	c=1 d=1 t=27286
xie cheng 	協程	c=43 d=1.00358 t=23162
xie cheng 	攜程	c=2 d=1 t=23163
xie cheng li 	協程裏	c=2 d=1.00705 t=22103
xie chu 	寫出	c=2 d=1.00497 t=26468
xie cuo 	寫錯	c=0 d=0.1 t=16684
xie cuo le 	寫錯了	c=3 d=1.00052 t=20923
xie dai 	攜帶	c=6 d=1 t=25969
xie dai 	鞋帶	c=1 d=1 t=15843
xie dai ma 	寫代碼	c=1 d=1 t=582
xie dao 	寫到	c=6 d=1.04712 t=24797
xie dao 	斜道	c=1 d=1 t=3531
xie de 	寫得	c=2 d=1 t=19659
xie de 	寫的	c=1 d=1 t=8748
xie fan le 	寫反了	c=1 d=1 t=5086
xie fang da 	寫放大	c=1 d=1 t=4660
xie ge 	寫個	c=2 d=1 t=10406
xie hao 	寫好	c=1 d=0.1 t=13346
xie hao le 	寫好了	c=5 d=2.07496 t=24977
xie le 	寫了	c=4 d=1.0949 t=25461
xie le de 	寫了的	c=1 d=1 t=4736
xie le ma 	寫了嗎	c=1 d=1 t=6156
xie lou 	泄漏	c=0 d=0.1 t=2262
xie lou le 	泄漏了	c=1 d=1 t=2263
xie man le 	寫慢了	c=1 d=1 t=18122
xie mei xie 	寫沒寫	c=1 d=1 t=12085
xie qing qiu 	寫請求	c=3 d=2.75523 t=20522
xie ru 	寫入	c=13 d=2.45576 t=27003
xie shi wu 	寫事務	c=2 d=1.07808 t=6712
xie tiao 	協調	c=2 d=1 t=14484
xie tiao zhe 	協調者	c=8 d=1 t=14550
xie wan 	寫完	c=2 d=1 t=17365
xie xie 	寫寫	c=1 d=1 t=25197
xie xie 	謝謝	c=15 d=1.27039 t=18237
xie yi 	協議	c=3 d=0.100055 t=11208
xie yi ge 	寫一個	c=2 d=1 t=18926
xie yi shu 	協議書	c=1 d=1 t=9679
xie zai 	寫在	c=1 d=1 t=23654
xin 	心	c=2 d=1.71892 t=11141
xin 	新	c=35 d=0.1 t=26679
xin 	鑫	c=4 d=1.00003 t=21178
xin ban 	新版	c=1 d=1 t=249
xin ban ben 	新版本	c=2 d=1.95123 t=19364
xin de 	新的	c=50 d=1.04307 t=24753
xin hao 	信號	c=1 d=1 t=136
xin jia 	新家	c=1 d=1 t=22154
xin jian 	新建	c=1 d=1 t=17131
xin ren 	信任	c=1 d=1 t=5763
xin ren 	新人	c=5 d=4.59159 t=5804
xin shou 	新手	c=1 d=0.514783 t=5873
xin shou qi 	新手期	c=1 d=1 t=5874
xin te xing 	新特性	c=1 d=1 t=26680
xin tiao 	心跳	c=232 d=5.53805 t=22884
xin tiao de 	心跳的	c=1 d=1 t=12404
xin tiao ren wu 	心跳任務	c=1 d=1 t=15412
xin xi 	信息	c=93 d=4.32699 t=26005
xin xi biao 	信息表	c=1 d=1 t=9675
xin xi zhong 	信息中	c=1 d=1 t=21331
xin xiang 	信箱	c=1 d=1 t=7745
xin zeng 	新增	c=11 d=1.91393 t=26877
xin zhi 	新知	c=1 d=1 t=22149
xing 	型	c=2 d=0.1 t=18352
xing 	性	c=2 d=1 t=25467
xing 	行	c=2 d=1.99501 t=7785
xing 	邢	c=1 d=1 t=18269
xing bing 	性病	c=1 d=1 t=2572
xing dong 	行動	c=2 d=1 t=25888
xing ge 	性格	c=2 d=1.95123 t=18105
xing guo lai 	醒過來	c=1 d=1 t=17414
xing jia bi 	性價比	c=2 d=1.98511 t=5042
xing lai 	醒來	c=1 d=1 t=17625
xing le 	行了	c=2 d=1 t=26664
xing lu 	行露	c=0 d=0.1 t=1854
xing lu gu 	行露股	c=1 d=1 t=1855
xing neng 	性能	c=17 d=1.0006 t=27376
xing neng tiao you 	性能調優	c=1 d=1 t=19289
xing qi er 	星期二	c=1 d=1 t=18273
xing qi liu 	星期六	c=1 d=1 t=9525
xing qi wu 	星期五	c=2 d=1 t=18275
xing qu 	興趣	c=1 d=1 t=6750
xing rong ci 	形容詞	c=1 d=1 t=6543
xing shi 	形式	c=5 d=1 t=25562
xing shi hua 	形式化	c=1 d=1 t=9174
xing tai 	形態	c=2 d=1 t=8121
xing wei 	行為	c=14 d=2.49093 t=22603
xing xiang 	形象	c=1 d=1 t=317
xing yong 	刑勇	c=1 d=1 t=17859
xing yong ge 	刑勇哥	c=1 d=1 t=16915
xing yun 	星云	c=1 d=1 t=19340
xing zeng 	型曾	c=1 d=1 t=17881
xing zhi 	性知	c=1 d=1 t=17460
xing zhi 	性質	c=1 d=1 t=17461
xiong 	熊	c=1 d=1 t=20109
xiong an 	雄安	c=1 d=1 t=2373
xiu 	休	c=0 d=0.1 t=4652
xiu 	修	c=1 d=0.1 t=24829
xiu gai 	修改	c=37 d=0.100941 t=26019
xiu gai hou 	修改後	c=2 d=1.89583 t=19512
xiu gai qian 	修改前	c=2 d=1.40252 t=19693
xiu gai wei 	修改爲	c=1 d=1 t=16572
xiu gao 	休搞	c=1 d=1 t=5052
xiu le 	修了	c=2 d=0.1 t=24829
xiu le xiu 	修了修	c=1 d=1 t=24830
xiu xi 	休息	c=1 d=1 t=27359
xiu zheng ban 	修正版	c=1 d=1 t=8892
xu 	序	c=4 d=1 t=21807
xu 	旭	c=3 d=1.3232 t=25092
xu 	許	c=2 d=1 t=11119
xu biao 	虛表	c=2 d=1.98511 t=24932
xu hao 	序號	c=7 d=1.72979 t=20415
xu hui 	徐匯	c=1 d=1 t=4421
xu lie 	序列	c=2 d=1 t=15303
xu lie hua 	序列化	c=3 d=1.93239 t=10107
xu qiu 	需求	c=6 d=0.1 t=27247
xu qiu ma 	需求嗎	c=1 d=1 t=27248
xu yao 	需要	c=122 d=2.18669 t=27006
xu yao deng dai 	需要等待	c=1 d=1 t=3153
xu yao rang 	需要讓	c=1 d=1 t=8588
xu yao wo 	需要我	c=1 d=1 t=27241
xu yao zhu yi 	需要注意	c=0 d=0.1 t=12505
xu yao zhu yi de 	需要注意的	c=1 d=1 t=12506
xuan 	璇	c=1 d=1 t=18196
xuan 	軒	c=7 d=1 t=25573
xuan 	選	c=2 d=1 t=19665
xuan chu 	選出	c=1 d=1 t=3211
xuan ge 	選個	c=1 d=1 t=22738
xuan ju 	選舉	c=1 d=1 t=10665
xuan xiang 	選項	c=11 d=1.00601 t=26329
xuan xing 	選型	c=1 d=1 t=19868
xuan ze 	選擇	c=11 d=1 t=22599
xuan zhu 	選主	c=1 d=1 t=3022
xue 	學	c=3 d=1 t=9286
xue cheng 	學城	c=2 d=1 t=26724
xue di 	學弟	c=0 d=0.1 t=7053
xue di xue mei 	學弟學妹	c=1 d=1 t=7054
xue dian 	學點	c=1 d=1 t=16722
xue le 	學了	c=1 d=1 t=10111
xue li 	學歷	c=1 d=1 t=8066
xue mei 	學妹	c=0 d=0.1 t=7053
xue sheng 	學生	c=1 d=1 t=8081
xue shu 	學術	c=1 d=1 t=6974
xue wei 	學位	c=5 d=1.09047 t=9850
xue wei 	穴位	c=1 d=1 t=1679
xue wei lun wen 	學位論文	c=1 d=1 t=6539
xue wei zheng 	學位證	c=2 d=1.00049 t=11211
xue wei zheng ming 	學位證明	c=1 d=1 t=9851
xue xi 	学习	c=5 d=1.00001 t=15589
xue xi cheng ji 	學習成績	c=1 d=1 t=13362
xue xiao 	學校	c=11 d=1.65091 t=9880
xue xin wang 	學信網	c=2 d=1 t=13371
xue yuan 	學院	c=2 d=1 t=9881
xun huan 	循環	c=4 d=1.03517 t=16276
xun huan li 	循環裏	c=1 d=1 t=2243
xun lei 	迅雷	c=1 d=1 t=545
xun su 	迅速	c=1 d=1 t=23934
ya 	呀	c=2 d=1.0739 t=7077
ya gen 	壓根	c=0 d=0.1 t=26832
ya gen mei guan 	壓根沒管	c=1 d=1 t=26833
ya li 	壓力	c=10 d=1.66389 t=26551
ya shan 	崖山	c=1 d=1 t=26719
yan chi 	延遲	c=24 d=1.02485 t=26914
yan ge 	嚴格	c=2 d=1 t=25170
yan jiang gao 	演講稿	c=1 d=1 t=6530
yan jin 	演進	c=0 d=0.1 t=5073
yan jin lu jing 	演進路徑	c=1 d=1 t=5074
yan jiu 	研究	c=4 d=1 t=11387
yan jiu le 	研究了	c=1 d=1 t=7059
yan jiu sheng 	研究生	c=3 d=0.1 t=10837
yan jiu yi xia 	研究一下	c=1 d=0.1 t=5005
yan le 	淹了	c=1 d=1 t=23310
yan shi 	延時	c=3 d=1.02992 t=18727
yan yu 	言語	c=1 d=1 t=1685
yan zheng 	驗證	c=11 d=6.96247 t=24656
yan zheng le 	驗證了	c=1 d=1 t=5997
yan zhong 	嚴重	c=2 d=1.00045 t=22601
yang 	仰	c=2 d=1.00002 t=2758
yang 	揚	c=1 d=1 t=9591
yang 	楊	c=6 d=1 t=22147
yang 	樣	c=9 d=1 t=27278
yang 	陽	c=2 d=1.98511 t=9894
yang guang 	陽光	c=0 d=0.1 t=13607
yang guang zhi chang 	陽光職場	c=1 d=1 t=13608
yang huo 	養活	c=0 d=0.1 t=4955
yang huo le 	養活了	c=1 d=1 t=4956
yang jing kai 	楊鏡開	c=1 d=1 t=7063
yang pu 	楊浦	c=2 d=1 t=17205
yang zi 	樣子	c=2 d=1 t=23444
yao 	姚	c=10 d=1.55365 t=9385
yao 	要	c=69 d=0.100091 t=27360
yao ba 	要把	c=1 d=1 t=11788
yao bai 	搖擺	c=1 d=1 t=24181
yao bu 	要不	c=2 d=1.00002 t=13535
yao bu shi 	要不是	c=1 d=1 t=7393
yao bu ti jiao 	要不提交	c=1 d=1 t=11796
yao bu yao 	要不要	c=3 d=1 t=20180
yao ce sha 	要側啥	c=1 d=1 t=22963
yao chu li 	要處理	c=1 d=1 t=14257
yao fa 	要發	c=1 d=1 t=10173
yao gai 	要改	c=7 d=1.99501 t=23266
yao gei 	要給	c=1 d=1 t=13880
yao gun 	搖滾	c=2 d=1 t=25182
yao kan 	要看	c=1 d=1 t=13930
yao kan de 	要看的	c=1 d=1 t=8755
yao lao shi 	姚老師	c=6 d=2.68339 t=8297
yao me 	要麼	c=3 d=1 t=10736
yao ning yuan 	姚寧遠	c=1 d=1 t=8287
yao qiu 	要求	c=10 d=2.00213 t=25662
yao rang 	要讓	c=1 d=1 t=13053
yao shi 	要是	c=1 d=1 t=7007
yao wang 	要往	c=1 d=1 t=23663
yao wo 	要我	c=0 d=0.1 t=4928
yao wo le 	要我了	c=1 d=1 t=4929
yao xiang 	要想	c=1 d=1 t=14199
yao xue xi 	要学习	c=0 d=0.1 t=8899
yao yong 	要用	c=0 d=0.1 t=1698
yao yong dao 	要用到	c=1 d=0.1 t=23660
yao yong dao de 	要用到的	c=1 d=1 t=23661
yao zai 	要在	c=1 d=1 t=2804
yao zhao wo 	要找我	c=1 d=1 t=490
yao zhi chi 	要支持	c=1 d=1 t=22565
yao zou 	要走	c=0 d=0.1 t=19191
yao zou le ma 	要走了嗎	c=1 d=1 t=19192
yao zuo 	要做	c=4 d=1 t=26647
yao zuo ne 	要做呢	c=1 d=1 t=20778
ye 	也	c=28 d=1.01153 t=25868
ye 	夜	c=1 d=1 t=9352
ye 	燁	c=1 d=1 t=15100
ye 	葉	c=2 d=1.00411 t=10581
ye 	頁	c=0 d=0.1 t=7081
ye bu 	也不	c=0 d=0.1 t=9100
ye bu gui 	也不貴	c=1 d=1 t=9101
ye bu neng 	也不能	c=1 d=1 t=13666
ye bu shi 	也不是	c=1 d=1 t=19562
ye gai 	也改	c=1 d=1 t=19257
ye gan xie 	也感謝	c=1 d=1 t=7357
ye gen 	也跟	c=1 d=0.1 t=15581
ye gen wo 	也跟我	c=1 d=1 t=15582
ye hai 	也還	c=0 d=0.1 t=4694
ye hai hao 	也還好	c=2 d=1.00014 t=6476
ye hai ke yi 	也還可以	c=1 d=1 t=6277
ye hao 	也好	c=2 d=1.99501 t=23110
ye hen 	也很	c=0 d=0.1 t=3419
ye hen duo le 	也很多了	c=1 d=1 t=3420
ye hui 	也會	c=2 d=0.1 t=21340
ye hui gen ju 	也會根據	c=1 d=1 t=21341
ye jiu 	也就	c=1 d=1 t=15140
ye jiu shi 	也就是	c=1 d=1 t=24136
ye ke yi 	也可以	c=5 d=1 t=23935
ye mei 	也沒	c=0 d=0.1 t=26780
ye mei wen ti 	也沒問題	c=1 d=1 t=26781
ye mei you 	也沒有	c=1 d=1 t=3895
ye mian 	頁面	c=1 d=1 t=19429
ye shi 	也是	c=15 d=1 t=27254
ye wu 	業務	c=9 d=1.58574 t=26883
ye wu neng li 	業務能力	c=1 d=1 t=8082
ye yin ci 	也因此	c=1 d=1 t=25427
ye you 	也有	c=8 d=1.00012 t=23976
ye you yi ge 	也有一個	c=1 d=1 t=226
yi 	一	c=3 d=1 t=12484
yi 	以	c=30 d=1.99525 t=24535
yi 	億	c=1 d=1 t=27043
yi 	已	c=2 d=1 t=14395
yi 	椅	c=0 d=0.1 t=25713
yi 	移	c=0 d=0.1 t=25658
yi 	義	c=2 d=1 t=10074
yi 	翼	c=1 d=1 t=27345
yi ba 	一把	c=3 d=1.95123 t=14837
yi ba suo 	一把鎖	c=2 d=1 t=11622
yi bai duo 	一百多	c=1 d=1 t=8803
yi ban 	一半	c=1 d=0.1 t=27046
yi ban 	一般	c=4 d=1 t=22052
yi bao 	醫保	c=4 d=1 t=11701
yi bian 	一遍	c=15 d=1.0033 t=25339
yi bu 	一步	c=1 d=1 t=23114
yi bu 	異步	c=25 d=1 t=24366
yi bu fen 	一部分	c=3 d=1 t=23289
yi bu ren wu 	異步任務	c=1 d=1 t=11973
yi ceng 	一層	c=7 d=2.11938 t=24315
yi chang 	異常	c=6 d=1 t=24790
yi chang le 	異常了	c=1 d=1 t=16225
yi che 	一車	c=1 d=1 t=17641
yi chuan 	一串	c=1 d=1 t=9631
yi ci 	一次	c=30 d=1.28665 t=24711
yi ci 	以此	c=1 d=1 t=22830
yi ci 	依次	c=2 d=1 t=7208
yi dian 	一點	c=4 d=1 t=26981
yi ding 	一定	c=2 d=0.1 t=23709
yi ding shi jian hou 	一定時間後	c=1 d=1 t=23710
yi duan 	一段	c=4 d=0.1 t=16199
yi duan shi jian 	一段時間	c=1 d=1 t=21837
yi fang 	一方	c=1 d=1 t=11010
yi fang 	以防	c=1 d=1 t=22002
yi fen 	一份	c=3 d=0.530379 t=24310
yi fu 	衣服	c=1 d=1.04649 t=8213
yi ge 	一個	c=280 d=2.64571 t=26996
yi ge ren 	一個人	c=2 d=1 t=8801
yi ge yue 	一個月	c=2 d=1.75201 t=8804
yi ge zi 	一個字	c=1 d=1 t=21821
yi hang 	一行	c=1 d=1 t=4294
yi hou 	以後	c=8 d=0.63795 t=26779
yi hou zuo 	以後做	c=1 d=1 t=26780
yi hui 	一回	c=0 d=0.1 t=5414
yi hui er 	一會兒	c=1 d=1 t=8339
yi hui he yi hui he 	一回合一回合	c=1 d=1 t=5415
yi ji 	以及	c=10 d=1.11722 t=27170
yi jian 	意見	c=2 d=1 t=17861
yi jian shi 	一件事	c=1 d=1 t=24899
yi jie 	一節	c=0 d=0.1 t=1693
yi jie 	一階	c=2 d=1.99501 t=6185
yi jing 	已經	c=38 d=1.01916 t=26909
yi ju 	依據	c=1 d=1 t=14655
yi jue 	已決	c=2 d=1.8825 t=10745
yi kai shi 	一開始	c=4 d=1 t=25112
yi kao 	依靠	c=9 d=1 t=26555
yi kui 	一窺	c=1 d=1 t=7372
yi lai 	依賴	c=21 d=1.06053 t=26590
yi lai de 	依賴的	c=1 d=1 t=517
yi lai yi ge 	依賴一個	c=1 d=1 t=18655
yi lei 	一類	c=1 d=1 t=22287
yi liang 	一輛	c=1 d=1 t=17121
yi man 	已滿	c=1 d=1 t=15989
yi mao qian 	一毛錢	c=1 d=1 t=4677
yi miao 	一秒	c=1 d=1 t=26365
yi mo yi yang 	一模一样	c=1 d=1 t=4749
yi nian 	一年	c=1 d=0.1 t=13592
yi pi 	一批	c=0 d=0.1 t=13891
yi qi 	一起	c=11 d=1.00025 t=25456
yi qi gai le 	一起改了	c=1 d=1 t=20191
yi qian 	以前	c=2 d=1.89583 t=21054
yi ran 	依然	c=2 d=1 t=12530
yi ren 	一人	c=1 d=1 t=7018
yi ri you 	一日遊	c=1 d=1 t=4402
yi shang 	以上	c=3 d=1.00006 t=22340
yi sheng 	一生	c=3 d=1.00001 t=5186
yi si 	意思	c=9 d=1 t=27341
yi su 	伊蘇	c=1 d=1 t=25614
yi tian 	一天	c=3 d=1.29671 t=13859
yi tiao 	一條	c=5 d=1 t=26360
yi tong 	一通	c=0 d=0.1 t=23531
yi tong gai 	一通改	c=1 d=1 t=23532
yi tuo 	一坨	c=2 d=1 t=18975
yi tuo 	一拖	c=1 d=1 t=10901
yi tuo da bian 	一拖答辯	c=1 d=1 t=8717
yi wai 	以外	c=2 d=1 t=18643
yi wei 	以爲	c=1 d=1 t=3374
yi wei 	意味	c=1 d=1 t=12350
yi wei 	移位	c=1 d=1 t=25076
yi wei zhe 	意味着	c=2 d=1 t=12353
yi xi lie 	一系列	c=1 d=1 t=9975
yi xia 	一下	c=44 d=1.15959 t=27360
yi xia 	以下	c=19 d=1.15966 t=26215
yi xiang 	一想	c=0 d=0.1 t=5260
yi xiang qi 	一想起	c=1 d=1 t=5261
yi xiao shi 	一小時	c=1 d=1 t=6560
yi xie 	一些	c=34 d=1.30888 t=27388
yi xie shu yu 	一些術語	c=1 d=1 t=8049
yi yan 	一眼	c=1 d=1 t=27162
yi yan nan jin 	一言难尽	c=1 d=1 t=27412
yi yang 	一樣	c=7 d=1.00136 t=25569
yi yi 	意義	c=1 d=1 t=7389
yi you 	已由	c=1 d=1 t=16912
yi yuan 	醫院	c=6 d=3.7366 t=4442
yi zhang 	一張	c=2 d=1 t=27042
yi zhi 	一直	c=7 d=1.69165 t=21777
yi zhi 	一致	c=11 d=1.03192 t=22763
yi zhi 	已知	c=2 d=1 t=17328
yi zhi deng 	一直等	c=1 d=1 t=13703
yi zhi pao 	一直跑	c=1 d=1 t=21723
yi zhi xing 	一致性	c=3 d=1 t=21650
yi zhong 	一種	c=15 d=1.89106 t=24529
yi zhong shi 	一種是	c=1 d=1 t=10889
yi zou 	移走	c=4 d=1 t=11002
yi zu 	一組	c=1 d=1 t=19632
yin 	印	c=0 d=0.1 t=8759
yin 	因	c=6 d=0.100721 t=26859
yin 	尹	c=2 d=1.03976 t=3429
yin 	胤	c=1 d=1 t=487
yin chao guo 	因超過	c=1 d=1 t=26860
yin ci 	因此	c=57 d=1.38283 t=26371
yin han 	隱含	c=0 d=0.1 t=18565
yin han le 	隱含了	c=1 d=1 t=18566
yin hao 	引號	c=1 d=1 t=26612
yin jing 	銀經	c=1 d=1 t=15085
yin li 	引理	c=3 d=1.81465 t=8103
yin qing 	引擎	c=1 d=1 t=3511
yin ru 	引入	c=1 d=1 t=15032
yin shen 	引伸	c=0 d=0.1 t=27123
yin shen yi xia 	引伸一下	c=1 d=1 t=27124
yin su 	因素	c=1 d=1 t=18661
yin wei 	因爲	c=65 d=1.00051 t=27076
yin xiang 	印象	c=1 d=1 t=169
yin xiang 	音箱	c=1 d=1 t=383
yin yong 	引用	c=8 d=1 t=14290
yin yong le 	引用了	c=1 d=1 t=7444
yin yue 	音樂	c=0 d=0.1 t=472
yin yue hui 	音樂會	c=1 d=1 t=10318
ying 	影	c=2 d=1.97045 t=11140
